,Maxsulot,Narx,Bozor nomlari,Sana
401,Пишлоқ,56300,Қорақамиш  бозори,2022-09-21
402,Бринза,37200,Қорақамиш  бозори,2022-09-21
403,Творог,30142.8571,Қорақамиш  бозори,2022-09-21
404,Сметана,29285.7143,Қорақамиш  бозори,2022-09-21
405,"Тухум, 10 донаси",10500,Қорақамиш  бозори,2022-09-21
406,Сариёғ,58777.7778,Қорақамиш  бозори,2022-09-21
407,Лимон,46000,Қорақамиш  бозори,2022-09-21
408,Олма,13150,Қорақамиш  бозори,2022-09-21
409,Нок,27166.6667,Қорақамиш  бозори,2022-09-21
410,Узум,17000,Қорақамиш  бозори,2022-09-21
411,Тарвуз,3000,Қорақамиш  бозори,2022-09-21
412,Қовун,4166.6667,Қорақамиш  бозори,2022-09-21
413,Кишмиш,59444.4444,Қорақамиш  бозори,2022-09-21
414,Туршак (баргак),45900,Қорақамиш  бозори,2022-09-21
415,Карам,3000,Қорақамиш  бозори,2022-09-21
416,"Кўкатлар (кўк пиёз, укроп, петрушка ва бошқалар, тури кўрсатилсин)",17166.6667,Қорақамиш  бозори,2022-09-21
417,Бодринг,9100,Қорақамиш  бозори,2022-09-21
418,Помидор,12800,Қорақамиш  бозори,2022-09-21
419,Бақлажон,5500,Қорақамиш  бозори,2022-09-21
420,Булғор қалампири,7666.6667,Қорақамиш  бозори,2022-09-21
421,Қовоқ,4500,Қорақамиш  бозори,2022-09-21
422,Хўраки лавлаги,5160,Қорақамиш  бозори,2022-09-21
423,Сабзи,3875,Қорақамиш  бозори,2022-09-21
424,Шолғом,5050,Қорақамиш  бозори,2022-09-21
425,Пиёз,3966.6667,Қорақамиш  бозори,2022-09-21
426,Турп,NULL,Қорақамиш  бозори,2022-09-21
427,Картошка,4200,Қорақамиш  бозори,2022-09-21
428,Ловия,16300,Қорақамиш  бозори,2022-09-21
429,Нўхат,20416.6667,Қорақамиш  бозори,2022-09-21
430,Мош,15500,Қорақамиш  бозори,2022-09-21
431,Шакар,12500,Қорақамиш  бозори,2022-09-21
432,Болалар маҳсус озуқаси,NULL,Қорақамиш  бозори,2022-09-21
433,Туз,2742.8571,Қорақамиш  бозори,2022-09-21
